ID,Area,Doc,Route/Context,Source (component › element),Type,English (verbatim),Arabic (fill in),Status,Bundle Key,Raw Status
1,i18n-infra,01-i18n-infrastructure.md,<path>  —  <page file>,page.tsx › PageHeader.title,heading,Litigation Cases,,keyed,cases.title,key: cases.title
2,i18n-infra,01-i18n-infrastructure.md,<path>  —  <page file>,CaseFilters › search input,placeholder,Search cases…,,HARDCODED,,HARDCODED
3,i18n-infra,01-i18n-infrastructure.md,<path>  —  <page file>,StatusBadge › value,badge,Under Procedure,,data-driven,,"data-driven (GET /api/v1/lex/legal-cases → status enum, keyed in lex-i18n statusLabels)"
4,i18n-infra,01-i18n-infrastructure.md,<path>  —  <page file>,page.tsx › PageHeader.title,heading,Litigation Cases,,keyed,cases.title,key: cases.title
5,i18n-infra,01-i18n-infrastructure.md,<path>  —  <page file>,CaseFilters › search input,placeholder,Search cases…,,HARDCODED,,HARDCODED
6,i18n-infra,01-i18n-infrastructure.md,<path>  —  <page file>,StatusBadge › value,badge,Under Procedure,,data-driven,,"data-driven (GET /api/v1/lex/legal-cases → status enum, keyed in lex-i18n statusLabels)"
7,Cyber · Core,20-cyber-core.md,/cyber — SOC Dashboard  ·  cyber/page.tsx,page › PageHeader.title,heading,Security Operations Center,,keyed,cyber.dashboard.title,key: cyber.dashboard.title
8,Cyber · Core,20-cyber-core.md,/cyber — SOC Dashboard  ·  cyber/page.tsx,page › PageHeader.description,subheading,Real-time security monitoring and threat intelligence,,keyed,cyber.dashboard.description,key: cyber.dashboard.description
9,Cyber · Core,20-cyber-core.md,/cyber — SOC Dashboard  ·  cyber/page.tsx,page › eyebrow,eyebrow,Cyber Defense,,keyed,cyber.common.eyebrow,key: cyber.common.eyebrow
10,Cyber · Core,20-cyber-core.md,/cyber — SOC Dashboard  ·  cyber/page.tsx,page › header tag,badge,Live monitoring,,keyed,cyber.dashboard.tagLiveMonitoring,key: cyber.dashboard.tagLiveMonitoring
11,Cyber · Core,20-cyber-core.md,/cyber — SOC Dashboard  ·  cyber/page.tsx,page › header tag,badge,`{count} critical`,,keyed,cyber.dashboard.tagCritical,key: cyber.dashboard.tagCritical (fn)
12,Cyber · Core,20-cyber-core.md,/cyber — SOC Dashboard  ·  cyber/page.tsx,page › header tag,badge,`Risk {score} ({grade})`,,keyed,cyber.dashboard.tagRisk,key: cyber.dashboard.tagRisk (fn)
13,Cyber · Core,20-cyber-core.md,/cyber — SOC Dashboard  ·  cyber/page.tsx,page › stat,label,Open alerts,,keyed,cyber.dashboard.statOpenAlerts,key: cyber.dashboard.statOpenAlerts
14,Cyber · Core,20-cyber-core.md,/cyber — SOC Dashboard  ·  cyber/page.tsx,page › stat,label,Critical,,keyed,cyber.dashboard.statCritical,key: cyber.dashboard.statCritical
15,Cyber · Core,20-cyber-core.md,/cyber — SOC Dashboard  ·  cyber/page.tsx,page › common actions,button,Refresh / Settings / Retry / View all / Cancel,,keyed,"cyber.common.{refresh,settings,retry,viewAll,cancel}","key: cyber.common.{refresh,settings,retry,viewAll,cancel}"
16,Cyber · Core,20-cyber-core.md,/cyber — SOC Dashboard  ·  cyber/page.tsx,page › card titles,heading,Alert Volume (24h),,keyed,cyber.dashboard.cardAlertVolume,key: cyber.dashboard.cardAlertVolume
17,Cyber · Core,20-cyber-core.md,/cyber — SOC Dashboard  ·  cyber/page.tsx,page › card titles,heading,Severity Distribution,,keyed,cyber.dashboard.cardSeverityDistribution,key: cyber.dashboard.cardSeverityDistribution
18,Cyber · Core,20-cyber-core.md,/cyber — SOC Dashboard  ·  cyber/page.tsx,page › card titles,heading,MITRE ATT&CK Heatmap,,keyed,cyber.dashboard.cardMitreHeatmap,key: cyber.dashboard.cardMitreHeatmap
19,Cyber · Core,20-cyber-core.md,/cyber — SOC Dashboard  ·  cyber/page.tsx,page › card titles,heading,Vulnerability Aging,,keyed,cyber.dashboard.cardVulnAging,key: cyber.dashboard.cardVulnAging
20,Cyber · Core,20-cyber-core.md,/cyber — SOC Dashboard  ·  cyber/page.tsx,page › card titles,heading,Recent Critical Alerts,,keyed,cyber.dashboard.cardRecentAlerts,key: cyber.dashboard.cardRecentAlerts
21,Cyber · Core,20-cyber-core.md,/cyber — SOC Dashboard  ·  cyber/page.tsx,page › card titles,heading,Top Attacked Assets,,keyed,cyber.dashboard.cardTopAttackedAssets,key: cyber.dashboard.cardTopAttackedAssets
22,Cyber · Core,20-cyber-core.md,/cyber — SOC Dashboard  ·  cyber/page.tsx,page › card titles,heading,Analyst Workload,,keyed,cyber.dashboard.cardAnalystWorkload,key: cyber.dashboard.cardAnalystWorkload
23,Cyber · Core,20-cyber-core.md,/cyber — SOC Dashboard  ·  cyber/page.tsx,page › error state,error,Failed to load SOC dashboard. Please try again.,,keyed,cyber.dashboard.loadError,key: cyber.dashboard.loadError
24,Cyber · Core,20-cyber-core.md,/cyber — SOC Dashboard  ·  cyber/page.tsx,page › empty state,empty-state,No dashboard data yet,,keyed,cyber.dashboard.emptyTitle,key: cyber.dashboard.emptyTitle
25,Cyber · Core,20-cyber-core.md,/cyber — SOC Dashboard  ·  cyber/page.tsx,page › empty state,empty-state,SOC metrics will appear here once security telemetry starts flowing.,,keyed,cyber.dashboard.emptyDescription,key: cyber.dashboard.emptyDescription
26,Cyber · Core,20-cyber-core.md,/cyber — SOC Dashboard  ·  cyber/page.tsx,page › partial-failure banner,body,`Some sections may be incomplete: {sections}`,,keyed,cyber.dashboard.partialFailures,key: cyber.dashboard.partialFailures (fn)
27,Cyber · Core,20-cyber-core.md,/cyber — SOC Dashboard  ·  cyber/page.tsx,soc-kpi-cards › KPI,label,Open Alerts,,keyed,cyber.dashboard.kpiOpenAlerts,key: cyber.dashboard.kpiOpenAlerts
28,Cyber · Core,20-cyber-core.md,/cyber — SOC Dashboard  ·  cyber/page.tsx,soc-kpi-cards › KPI sub,body,vs yesterday,,keyed,cyber.dashboard.kpiOpenAlertsChange,key: cyber.dashboard.kpiOpenAlertsChange
29,Cyber · Core,20-cyber-core.md,/cyber — SOC Dashboard  ·  cyber/page.tsx,soc-kpi-cards › KPI,label,Critical Alerts,,keyed,cyber.dashboard.kpiCriticalAlerts,key: cyber.dashboard.kpiCriticalAlerts
30,Cyber · Core,20-cyber-core.md,/cyber — SOC Dashboard  ·  cyber/page.tsx,soc-kpi-cards › KPI,label,Risk Score,,keyed,cyber.dashboard.kpiRiskScore,key: cyber.dashboard.kpiRiskScore
31,Cyber · Core,20-cyber-core.md,/cyber — SOC Dashboard  ·  cyber/page.tsx,soc-kpi-cards › KPI,label,MTTR,,keyed,cyber.dashboard.kpiMttr,key: cyber.dashboard.kpiMttr
32,Cyber · Core,20-cyber-core.md,/cyber — SOC Dashboard  ·  cyber/page.tsx,soc-kpi-cards › KPI sub,body,Mean time to respond,,keyed,cyber.dashboard.kpiMttrDescription,key: cyber.dashboard.kpiMttrDescription
